site_name,site_address,site_city,site_zip,site_state,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
Dulles Elem School,6311 S Calumet Ave,Chicago,60637-3198,IL,41.779655,-87.616489,1,rooftop,6311,S Calumet Ave,,,Chicago,IL,Cook County,60637,US,City of Chicago
Scammon Elem School,4201 W Henderson St,Chicago,60641-4627,IL,41.94148,-87.733452,1,rooftop,4201,W Henderson St,,,Chicago,IL,Cook County,60641,US,City of Chicago
Nixon Elem School,2121 N Keeler Ave,Chicago,60639-3603,IL,41.919664,-87.731185,1,rooftop,2121,N Keeler Ave,,,Chicago,IL,Cook County,60639,US,City of Chicago
Little Village Elem School,2620 S Lawndale Ave,Chicago,60623-4519,IL,41.842774,-87.718064,1,rooftop,2620,S Lawndale Ave,,,Chicago,IL,Cook County,60623,US,City of Chicago
Horizon Sci Academy - Southwest Charter,5401 S Western Ave,Chicago,60609-5438,IL,41.795312,-87.684072,1,range_interpolation,5401,S Western Ave,,,Chicago,IL,Cook County,60609,US,TIGER/Line® dataset from the US Census Bureau
Hyde Park Academy High School,6220 S Stony Island Ave,Chicago,60637-2998,IL,41.782168,-87.587477,1,rooftop,6220,S Stony Island Ave,,,Chicago,IL,Cook County,60637,US,City of Chicago
Herzl Elem School,3711 W Douglas Blvd,Chicago,60623-1413,IL,41.862218,-87.717832,1,range_interpolation,3711,W Douglas Blvd,,,Chicago,IL,Cook County,60623,US,TIGER/Line® dataset from the US Census Bureau
Calmeca Acad Elem School,3456 W 38th St,Chicago,60632-3304,IL,41.824459,-87.710713,1,range_interpolation,3456,W 38th St,,,Chicago,IL,Cook County,60632,US,TIGER/Line® dataset from the US Census Bureau
Gunsaulus Elem Scholastic Academy,4420 S Sacramento Ave,Chicago,60632-2509,IL,41.812736,-87.699862,1,rooftop,4420,S Sacramento Ave,,,Chicago,IL,Cook County,60632,US,City of Chicago
West Ridge Elem School,6700 N Whipple St,Chicago,60645-4123,IL,42.003054,-87.705806,1,range_interpolation,6700,N Whipple St,,,Chicago,IL,Cook County,60645,US,TIGER/Line® dataset from the US Census Bureau
Chicago Vocational Career Acad HS,2100 E 87th St,Chicago,60617-3011,IL,41.738066,-87.572709,1,rooftop,2100,E 87th St,,,Chicago,IL,Cook County,60617,US,City of Chicago
Marsh Elem School,9822 S Exchange Ave,Chicago,60617-5446,IL,41.716243,-87.553133,1,rooftop,9822,S Exchange Ave,,,Chicago,IL,Cook County,60617,US,Cook
Garcia Lorca Elem School,3231 N Springfield Ave,Chicago,60618-5109,IL,41.940119,-87.724286,1,rooftop,3231,N Springfield Ave,,,Chicago,IL,Cook County,60618,US,City of Chicago
Monroe Elem School,3651 W Schubert Ave,Chicago,60647-1157,IL,41.929741,-87.718974,1,rooftop,3651,W Schubert Ave,,,Chicago,IL,Cook County,60647,US,City of Chicago
Reilly Elem School,3650 W School St,Chicago,60618-5358,IL,41.941591,-87.719291,1,rooftop,3650,W School St,,,Chicago,IL,Cook County,60618,US,Cook
Reinberg Elem School,3425 N Major Ave,Chicago,60634-4334,IL,41.942677,-87.767866,1,rooftop,3425,N Major Ave,,,Chicago,IL,Cook County,60634,US,City of Chicago
Kilmer Elem School,6700 N Greenview Ave,Chicago,60626-4208,IL,42.004334,-87.668502,1,rooftop,6700,N Greenview Ave,,,Chicago,IL,Cook County,60626,US,City of Chicago
Volta Elem School,4950 N Avers Ave,Chicago,60625-6011,IL,41.971436,-87.725098,1,rooftop,4950,N Avers Ave,,,Chicago,IL,Cook County,60625,US,City of Chicago
Boone Elem School,6710 N Washtenaw Ave,Chicago,60645-4511,IL,42.003935,-87.697986,1,rooftop,6710,N Washtenaw Ave,,,Chicago,IL,Cook County,60645,US,City of Chicago
Whitney Elem School,2815 S Komensky Ave,Chicago,60623-4450,IL,41.840049,-87.725329,1,rooftop,2815,S Komensky Ave,,,Chicago,IL,Cook County,60623,US,Cook
National Teachers Elem Academy,55 W Cermak Rd,Chicago,60616-2001,IL,41.851541,-87.628532,1,rooftop,55,W Cermak Rd,,,Chicago,IL,Cook County,60616,US,City of Chicago
Marine Leadership Academy - Ames,1920 N Hamlin Ave,Chicago,60647-3411,IL,41.916486,-87.722382,1,rooftop,1920,N Hamlin Ave,,,Chicago,IL,Cook County,60647,US,City of Chicago
Hurley Elem School,3849 W 69th Pl,Chicago,60629-4210,IL,41.766544,-87.719277,1,rooftop,3849,W 69th Pl,,,Chicago,IL,Cook County,60629,US,Cook
Burbank Elem School,2035 N Mobile Ave,Chicago,60639-3809,IL,41.91731,-87.781536,1,rooftop,2035,N Mobile Ave,,,Chicago,IL,Cook County,60639,US,City of Chicago
Peck Elem School,3826 W 58th St,Chicago,60629-3849,IL,41.788084,-87.719717,1,rooftop,3826,W 58th St,,,Chicago,IL,Cook County,60629,US,Cook
Chavez Elem Multicultural Acad Ct,4747 S Marshfield Ave,Chicago,60609-4159,IL,41.808031,-87.665653,1,rooftop,4747,S Marshfield Ave,,,Chicago,IL,Cook County,60609,US,City of Chicago
Dawes Elem School,3810 W 81st Pl,Chicago,60652-2400,IL,41.745148,-87.717071,1,range_interpolation,3810,W 81st Pl,,,Chicago,IL,Cook County,60652,US,TIGER/Line® dataset from the US Census Bureau
Sandoval Elem School,5534 S Saint Louis Ave,Chicago,60629-3810,IL,41.792343,-87.712016,1,rooftop,5534,S St Louis Ave,,,Chicago,IL,Cook County,60629,US,City of Chicago
Hayt Elem School,1518 W Granville Ave,Chicago,60660-1812,IL,41.994731,-87.668692,1,rooftop,1518,W Granville Ave,,,Chicago,IL,Cook County,60660,US,City of Chicago
Hibbard Elem School,3244 W Ainslie St,Chicago,60625-5018,IL,41.970842,-87.710376,1,rooftop,3244,W Ainslie St,,,Chicago,IL,Cook County,60625,US,Cook
Columbia Explorers Elem Academy,4520 S Kedzie Ave,Chicago,60632-2904,IL,41.810982,-87.704432,1,rooftop,4520,S Kedzie Ave,,,Chicago,IL,Cook County,60632,US,City of Chicago
Tonti Elem School,5815 S Homan Ave,Chicago,60629-3636,IL,41.7871,-87.707665,1,rooftop,5815,S Homan Ave,,,Chicago,IL,Cook County,60629,US,City of Chicago
Lloyd Elem School,2103 N Lamon Ave,Chicago,60639-3238,IL,41.919202,-87.747673,1,rooftop,2103,N Lamon Ave,,,Chicago,IL,Cook County,60639,US,City of Chicago
Prieto Math-Science Elem Sch,2231 N Central Ave,Chicago,60639-2956,IL,41.921192,-87.765231,1,rooftop,2231,N Central Ave,,,Chicago,IL,Cook County,60639,US,Cook
Camras Elem School,3000 N Mango Ave,Chicago,60634-5216,IL,41.935298,-87.770385,1,rooftop,3000,N Mango Ave,,,Chicago,IL,Cook County,60634,US,City of Chicago
Carson Elem School,5516 S Maplewood Ave,Chicago,60629-1023,IL,41.793114,-87.687948,1,rooftop,5516,S Maplewood Ave,,,Chicago,IL,Cook County,60629,US,City of Chicago
Haugan Elem School,4540 N Hamlin Ave,Chicago,60625-5928,IL,41.964031,-87.723635,1,rooftop,4540,N Hamlin Ave,,,Chicago,IL,Cook County,60625,US,City of Chicago
Bateman Elem School,4220 N Richmond St,Chicago,60618-2616,IL,41.958741,-87.702933,1,rooftop,4220,N Richmond St,,,Chicago,IL,Cook County,60618,US,City of Chicago
Tarkington Elem School,3330 W 71st St,Chicago,60629-3503,IL,41.764485,-87.705628,1,range_interpolation,3330,W 71st St,,,Chicago,IL,Cook County,60629,US,TIGER/Line® dataset from the US Census Bureau
Roosevelt High School,3436 W Wilson Ave,Chicago,60625-5318,IL,41.965013,-87.71517,1,rooftop,3436,W Wilson Ave,,,Chicago,IL,Cook County,60625,US,Cook
Hernandez Middle School,3510 W 55th St,Chicago,60632-3284,IL,41.793686,-87.711969,1,rooftop,3510,W 55th St,,,Chicago,IL,Cook County,60632,US,Cook
North-Grand High School,4338 W Wabansia Ave,Chicago,60639-4837,IL,41.912566,-87.734971,1,rooftop,4338,W Wabansia Ave,,,Chicago,IL,Cook County,60639,US,City of Chicago
Falconer Elem School,3020 N Lamon Ave,Chicago,60641-5195,IL,41.935595,-87.749942,1,rooftop,3020,N Lamon Ave,,,Chicago,IL,Cook County,60641,US,Cook
Gary Elem School,3740 W 31st St,Chicago,60623-5035,IL,41.837899,-87.718834,1,rooftop,3740,W 31st St,,,Chicago,IL,Cook County,60623,US,Cook
Gray Elem School,3730 N Laramie Ave,Chicago,60641-3338,IL,41.949189,-87.758259,1,rooftop,3730,N Laramie Ave,,,Chicago,IL,Cook County,60641,US,City of Chicago
Back of The Yards IB HS,2111 W 47th St,Chicago,60609-4011,IL,41.808346,-87.677303,1,range_interpolation,2111,W 47th St,,,Chicago,IL,Cook County,60609,US,TIGER/Line® dataset from the US Census Bureau
Cardenas Elem School,2345 S Millard Ave,Chicago,60623-3110,IL,41.848415,-87.715779,1,rooftop,2345,S Millard Ave,,,Chicago,IL,Cook County,60623,US,City of Chicago
Nightingale Elem School,5250 S Rockwell St,Chicago,60632-1540,IL,41.798365,-87.689663,1,rooftop,5250,S Rockwell St,,,Chicago,IL,Cook County,60632,US,City of Chicago
Beasley Elem Magnet Academic Ctr,5255 S State St,Chicago,60609-6303,IL,41.798643,-87.625082,1,rooftop,5255,S State St,,,Chicago,IL,Cook County,60609,US,Cook
Marquette Elem School,6550 S Richmond St,Chicago,60629-2821,IL,41.774207,-87.697708,1,rooftop,6550,S Richmond St,,,Chicago,IL,Cook County,60629,US,Cook
Clinton Elem School,6110 N Fairfield Ave,Chicago,60659-2647,IL,41.992831,-87.698642,1,rooftop,6110,N Fairfield Ave,,,Chicago,IL,Cook County,60659,US,Cook
Richardson Middle School,6018 S Karlov Ave,Chicago,60629-4900,IL,41.783748,-87.725499,1,range_interpolation,6018,S Karlov Ave,,,Chicago,IL,Cook County,60629,US,TIGER/Line® dataset from the US Census Bureau
Ombudsman Chicago West,2401 W Congress Pkwy,Chicago,60612-3534,IL,41.874672,-87.686557,1,rooftop,2401,W Congress Pkwy,,,Chicago,IL,Cook County,60612,US,City of Chicago
Solorio Academy High School,5400 S St Louis Ave,Chicago,60632-3287,IL,41.795458,-87.711514,1,rooftop,5400,S St Louis Ave,,,Chicago,IL,Cook County,60632,US,Cook
Saucedo Elem Scholastic Academy,2850 W 24th Blvd,Chicago,60623-3508,IL,41.848959,-87.697955,1,rooftop,2850,W 24th Blvd,,,Chicago,IL,Cook County,60623,US,Cook
Eberhart Elem School,3400 W 65th Pl,Chicago,60629-3402,IL,41.774774,-87.7091,1,rooftop,3400,W 65th Pl,,,Chicago,IL,Cook County,60629,US,City of Chicago
Armstrong G Elem IntL Studies,2110 W Greenleaf Ave,Chicago,60645-3620,IL,42.010429,-87.685027,1,rooftop,2110,W Greenleaf Ave,,,Chicago,IL,Cook County,60645,US,City of Chicago
Little Village HS,3120 S Kostner Ave,Chicago,60623,IL,41.835159,-87.735561,0,,,,,,,,,,,Google/PEARS
Sawyer Elem School,5248 S Sawyer Ave,Chicago,60632-3131,IL,41.797572,-87.705256,1,rooftop,5248,S Sawyer Ave,,,Chicago,IL,Cook County,60632,US,Cook
Lyon Elem School,2941 N McVicker Ave,Chicago,60634-5146,IL,41.933879,-87.776672,1,rooftop,2941,N McVicker Ave,,,Chicago,IL,Cook County,60634,US,City of Chicago
Simeon Career Academy High School,8147 S Vincennes Ave,Chicago,60620-1761,IL,41.74697,-87.634679,1,rooftop,8147,S Vincennes Ave,,,Chicago,IL,Cook County,60620,US,City of Chicago
Hanson Park Elem School,5411 W Fullerton Ave,Chicago,60639-1459,IL,41.923348,-87.762193,1,rooftop,5411,W Fullerton Ave,,,Chicago,IL,Cook County,60639,US,Cook
Edwards Elem School,4815 S Karlov Ave,Chicago,60632-4123,IL,41.805114,-87.725347,1,rooftop,4815,S Karlov Ave,,,Chicago,IL,Cook County,60632,US,City of Chicago
Schurz High School,3601 N Milwaukee Ave,Chicago,60641-3033,IL,41.946901,-87.735502,1,rooftop,3601,N Milwaukee Ave,,,Chicago,IL,Cook County,60641,US,City of Chicago
Juarez Community Academy HS,1450 W Cermak Rd,Chicago,60608-4408,IL,41.852548,-87.662222,1,range_interpolation,1450,W Cermak Rd,,,Chicago,IL,Cook County,60608,US,TIGER/Line® dataset from the US Census Bureau
Thomas Kelly College Preparatory,4136 S California Ave,Chicago,60632-1817,IL,41.819261,-87.695204,1,rooftop,4136,S California Ave,,,Chicago,IL,Cook County,60632,US,City of Chicago
KIPP Chicago Charter Schools,4818 W Ohio St,Chicago,60644-1702,IL,41.891526,-87.746174,1,range_interpolation,4818,W Ohio St,,,Chicago,IL,Cook County,60644,US,TIGER/Line® dataset from the US Census Bureau
Youth Connections Charter HS,10 W 35th St,Chicago,60616-3717,IL,41.831397,-87.627311,1,rooftop,10,W 35th St,,,Chicago,IL,Cook County,60616,US,City of Chicago
CICS - Irving Park Campus,3820 N Spaulding Ave,Chicago,60618-4413,IL,41.95087,-87.71071,1,rooftop,3820,N Spaulding Ave,,,Chicago,IL,Cook County,60618,US,Cook
CICS - Bucktown Campus,2235 N Hamilton Ave,Chicago,60647-3303,IL,41.922505,-87.681151,1,rooftop,2235,N Hamilton Ave,,,Chicago,IL,Cook County,60647,US,Cook
CICS - Northtown  Campus,3900 W Peterson Ave,Chicago,,IL,41.991087,-87.727062,1,rooftop,3900,W Peterson Ave,,,Chicago,IL,Cook County,60659,US,City of Chicago
CICS - Wrightwood,8130 S California Ave,Chicago,60652-2716,IL,41.745316,-87.693426,1,rooftop,8130,S California Ave,,,Chicago,IL,Cook County,60652,US,City of Chicago
CICS - Quest North Campus,1443 N Ogden Ave,Chicago,60610-1007,IL,41.907015,-87.645451,1,rooftop,1443,N Ogden Ave,,,Chicago,IL,Cook County,60610,US,Cook
CICS - Ralph Ellison Campus,1817 W 80th St,Chicago,60620-4557,IL,41.748315,-87.66891,1,range_interpolation,1817,W 80th St,,,Chicago,IL,Cook County,60620,US,TIGER/Line® dataset from the US Census Bureau
CICS - Bond Campus,13300 S Langley Ave,Chicago,60827-1396,IL,41.653187,-87.606344,1,rooftop,13300,S Langley Ave,,,Chicago,IL,Cook County,60827,US,City of Chicago
CICS - Prairie Campus,11530 S Prairie Ave,Chicago,60628-5612,IL,41.68448,-87.616929,1,range_interpolation,11530,S Prairie Ave,,,Chicago,IL,Cook County,60628,US,TIGER/Line® dataset from the US Census Bureau
CICS - Avalon/South Shore,1501 E 83rd Pl,Chicago,60619-6501,IL,41.742911,-87.58769,1,rooftop,1501,E 83rd Pl,,,Chicago,IL,Cook County,60619,US,Cook
CICS - Washington Pk Campus,110 E 61st St,Chicago,60637-2116,IL,41.78404,-87.6217,1,rooftop,110,E 61st St,,,Chicago,IL,Cook County,60637,US,Cook
CICS - Loomis Primary Campus,9535 S Loomis St,Chicago,60643-1374,IL,41.720275,-87.65704,1,rooftop,9535,S Loomis St,,,Chicago,IL,Cook County,60643,US,City of Chicago
CICS - West Belden Campus,2245 N McVicker Ave,Chicago,60639-2766,IL,41.921536,-87.776513,1,rooftop,2245,N McVicker Ave,,,Chicago,IL,Cook County,60639,US,City of Chicago
CICS - Basil Campus,1816 W Garfield Blvd,Chicago,60609-5606,IL,41.794137,-87.670155,1,rooftop,1816,W Garfield Blvd,,,Chicago,IL,Cook County,60609,US,Cook
CICS - Longwood Campus,1309 W 95th St,Chicago,60643-1496,IL,41.720913,-87.655798,1,rooftop,1309,W 95th St,,,Chicago,IL,Cook County,60643,US,Cook
Noble St Chtr-The Noble Academy,1443 N Ogden Ave,Chicago,60610-1007,IL,41.907015,-87.645451,1,rooftop,1443,N Ogden Ave,,,Chicago,IL,Cook County,60610,US,Cook
Noble St Chtr-Comer College Prep,7131 S South Chicago Ave,Chicago,60619-1254,IL,41.765277,-87.604129,1,rooftop,7131,S South Chicago Ave,,,Chicago,IL,Cook County,60619,US,City of Chicago
Noble St Chtr-Muchin College Prep,1 N State St,Chicago,60602-3302,IL,41.88236,-87.626999,1,rooftop,1,N State St,,,Chicago,IL,Cook County,60602,US,City of Chicago
Noble St Chtr-Hansberry College Prep - Silver,8748 S Aberdeen St,Chicago,60620-3438,IL,41.734429,-87.651301,1,rooftop,8748,S Aberdeen St,,,Chicago,IL,Cook County,60620,US,Cook
Noble St Chtr Rauner College Prep,1337 W Ohio St,Chicago,60642-6430,IL,41.892234,-87.66124,1,rooftop,1337,W Ohio St,,,Chicago,IL,Cook County,60642,US,City of Chicago
Noble Street Charter Schools,1 N State St Fl 7TH,Chicago,60602-3302,IL,41.88236,-87.626999,1,rooftop,1,N State St,Fl,7,Chicago,IL,Cook County,60602,US,City of Chicago
Noble St Chtr-UIC College Prep,1231 S Damen Ave,Chicago,60608-1145,IL,41.865229,-87.675905,1,rooftop,1231,S Damen Ave,,,Chicago,IL,Cook County,60608,US,Cook
Noble St Chtr-ITW Speer Acad,5321 W Grand Ave,Chicago,60639-3009,IL,41.917316,-87.759887,1,rooftop,5321,W Grand Ave,,,Chicago,IL,Cook County,60639,US,Cook
Noble St Chtr-Chicago Bulls Prep,2040 W Adams St,Chicago,60612-3052,IL,41.877779,-87.678282,1,rooftop,2040,W Adams St,,,Chicago,IL,Cook County,60612,US,City of Chicago
Noble St Chtr-Rowe-Clark MS Acad,3645 W Chicago Ave,Chicago,60651-3934,IL,41.895256,-87.718386,1,rooftop,3645,W Chicago Ave,,,Chicago,IL,Cook County,60651,US,City of Chicago
Pullman College Prep,821 E 103rd Street,Chicago,,IL,41.707029,-87.601482,1,rooftop,821,E 103rd St,,,Chicago,IL,Cook County,60628,US,City of Chicago
Noble St Chtr-Golder College Prep,1454 W Superior St,Chicago,60642-5255,IL,41.895539,-87.664561,1,rooftop,1454,W Superior St,,,Chicago,IL,Cook County,60642,US,Cook
Noble St Chtr-DRW Trading College Prep,931 S Homan Ave,Chicago,60624-4108,IL,41.869237,-87.709997,1,rooftop,931,S Homan Ave,,,Chicago,IL,Cook County,60624,US,Cook
Noble St Chtr-Johnson College Prep,6350 S Stewart Ave,Chicago,60621-3138,IL,41.77836,-87.635487,1,rooftop,6350,S Stewart Ave,,,Chicago,IL,Cook County,60621,US,Cook
Noble St Chtr - Mansueto,2911 W 47Th St,Chicago,60632-1949,IL,41.808081,-87.696992,1,range_interpolation,2911,W 47th St,,,Chicago,IL,Cook County,60632,US,TIGER/Line® dataset from the US Census Bureau
Noble St Chtr-Pritzker College Prep,4131 W Cortland St,Chicago,60639-4923,IL,41.915085,-87.729654,1,rooftop,4131,W Cortland St,,,Chicago,IL,Cook County,60639,US,Cook
Baker College Prep,2710 E 89th Street,Chicago,,IL,41.734325,-87.557618,1,rooftop,2710,E 89th St,,,Chicago,IL,Cook County,60617,US,Cook
Acero Chtr Sch Network,209 W Jackson Blvd,Chicago,60606-6907,IL,41.877916,-87.633978,1,rooftop,209,W Jackson Blvd,,,Chicago,IL,Cook County,60606,US,Cook
Perspectives Chtr - Joslin Campus,1930 S Archer Ave,Chicago,60616-6505,IL,41.856244,-87.628343,1,rooftop,1930,S Archer Ave,,,Chicago,IL,Cook County,60616,US,City of Chicago
Perspectives Chtr -  Calumet Middle,8131 S May St,Chicago,60620-3007,IL,41.745977,-87.651195,1,rooftop,8131,S May St,,,Chicago,IL,Cook County,60620,US,City of Chicago
Perspectives Chtr - Leadership Acad,8522 S Lafayette Ave,Chicago,60620-1308,IL,41.739775,-87.626195,1,rooftop,8522,S Lafayette Ave,,,Chicago,IL,Cook County,60620,US,City of Chicago
Perspectives Chtr - High School of Technology,8522 S Lafayette Ave,Chicago,60620-1308,IL,41.739775,-87.626195,1,rooftop,8522,S Lafayette Ave,,,Chicago,IL,Cook County,60620,US,City of Chicago
Perspectives Chtr -  IIT Campus,3663 S Wabash Ave,Chicago,60653-1032,IL,41.827755,-87.624444,1,rooftop,3663,S Wabash Ave,,,Chicago,IL,Cook County,60653,US,Cook
LEARN 10 Charter School,1811 Morrow Ave,North Chicago,60064-3223,IL,42.315534,-87.853276,1,rooftop,1811,Morrow Ave,,,North Chicago,IL,Lake County,60064,US,Lake
LEARN Charter Sch 6 North Chicago Campus,3131 Sheridan Rd,Great Lakes,60088-1600,IL,42.306042,-87.843052,1,rooftop,3131,Sheridan Rd,,,Great Lakes,IL,Lake County,60088,US,Lake
LEARN Chtr - 7th Campus,3021 W Carroll Ave,Chicago,60612-1721,IL,41.887418,-87.702113,1,range_interpolation,3021,W Carroll Ave,,,Chicago,IL,Cook County,60612,US,TIGER/Line® dataset from the US Census Bureau
LEARN Chtr - Middle School,3021 W Carroll Ave,Chicago,60612-1721,IL,41.887418,-87.702113,1,range_interpolation,3021,W Carroll Ave,,,Chicago,IL,Cook County,60612,US,TIGER/Line® dataset from the US Census Bureau
LEARN Charter 9 Campus in Waukegan,1200 W Glen Flora Ave,Waukegan,60085-1753,IL,42.379491,-87.846539,1,rooftop,1200,W Glen Flora Ave,,,Waukegan,IL,Lake County,60085,US,Lake
